tweet_id,tweet_date,tweet_source,tweet_text,tweet_user,tweet_favorites,tweet_retweets,
1.27E+18,20-06-2020 06:45,Twitter for iPhone,@rajnathsingh China has become uncontrollable land acquiring demon. It’s high time countries should come together a… https://t.co/FZMbeiT4m6,possshmusic,0,0,
,,,,,,,
1.27E+18,20-06-2020 06:34,Twitter for Android,"#indiavschina
Hats off to your sacrifices and love towards to the nation. 
We are nothing without you.❤️
#RIP https://t.co/l1nLTag5E1",mynameismahii,0,0,
,,,,,,,
1.27E+18,20-06-2020 06:32,Twitter for iPhone,"@PMOIndia Why chinese apps are not being banned !!
Lot of so called #bharitya yuva will still be using tiktok and p… https://t.co/n0xsX1q2DM",possshmusic,0,0,
,,,,,,,
1.27E+18,20-06-2020 06:11,Twitter for Android,"World Support increasing for India over China Dispute
#indiavschina #BharatVsChina 
https://t.co/cYtpRqVVhH",newsthatrend,2,0,
,,,,,,,
1.27E+18,20-06-2020 05:31,Twitter for Android,"Most Important!👍
@itzs2k @narendramodi
@AmitShah @rajnathsingh #itzs2k #Twitter #PositiveVibes #positivity #true… https://t.co/RahwmlcpDi",itzs2k,1,0,
,,,,,,,
1.27E+18,20-06-2020 05:19,Twitter for Android,"The Typical Indians....🙃🙃
#IndiaChinaFaceOff #China #IndiansUnitedAgainstChina #IndiaVSChina #IndiaChina https://t.co/r4oZYcHOZe",justanasplays,1,0,
,,,,,,,
1.27E+18,20-06-2020 04:46,Twitter Web App,"And NDTV slips and reveals it's true intentions...

https://t.co/WKJvP3Y5Tm

#BoycottNDTV 
#indiavschina… https://t.co/HgSgmMcvAQ",karun11,0,0,
,,,,,,,
1.27E+18,20-06-2020 04:44,Twitter Web App,India China Border Attack Explained #indiavschina  #IndiaChinaClash #indiachinastandoff #IndiaChinaFaceOff… https://t.co/XFGHmip4OY,Daily_Unlimited,0,0,
,,,,,,,
1.27E+18,20-06-2020 04:38,Twitter for Android,"Please put some sense into these countries| China will eat you up literally possible #sorrynotsorry
#nepal… https://t.co/ckW0BkVv33",shwetz09,1,0,
,,,,,,,
1.27E+18,20-06-2020 04:13,Twitter for Android,RT @ShubhamMishra__: Boycott China is Finally Happening in India #BoycottChina #BoycottChineseProducts #BoycottChinaApps #IndiaVsChina #Lad…,ShubhamMishra__,0,1,
,,,,,,,
1.27E+18,20-06-2020 04:13,Twitter for Android,Boycott China is Finally Happening in India #BoycottChina #BoycottChineseProducts #BoycottChinaApps #IndiaVsChina… https://t.co/J1FhdJY9Yc,ShubhamMishra__,1,1,
,,,,,,,
1.27E+18,20-06-2020 03:38,Sumanerts,RT @STRANGE64022201: How INDIA losing its Neighbors one by one | How INDIA losing SRI LANKA  #IndiaWantsSurpriseAgain #srilanka  #IndiaWill…,sumanebot,0,7,
,,,,,,,
